Event Month,Event Start,Event End,State,County,NERC Region (N),Alert Criteria (N),Event Type (N),Demand Loss (MW),Number of Customers Affected
February,2021-02-15 07:52:00,2021-02-17 14:15:00,Texas,Washington County,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,107,25000
February,2021-02-15 07:52:00,2021-02-17 14:15:00,Texas,Williamson County,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,107,25000
February,2021-02-15 06:51:00,2021-02-16 13:19:00,Oklahoma,,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,350,200000
February,2021-02-15 18:00:00,2021-02-15 23:59:00,Louisiana,,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,System Operations,Unknown,Unknown
February,2021-02-15 18:00:00,2021-02-15 23:59:00,Texas,,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,2021-02-15 14:00:00,2021-02-15 18:00:00,Louisiana,,SERC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown
February,2021-02-15 01:20:00,,Texas,,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,360,72000
February,2021-02-15 12:18:00,2021-02-15 13:22:00,Missouri,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,Unknown
February,2021-02-15 12:18:00,2021-02-15 13:22:00,Kansas,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,Unknown
February,2021-02-15 10:00:00,,Nebraska,Lancaster County,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,613,Unknown
February,2021-02-15 09:10:00,,Texas,Randall County,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,0,0
February,2021-02-15 05:36:00,,Texas,,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,300,Unknown
February,2021-02-15 00:00:00,,Texas,,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,500,Unknown
February,2021-02-16 07:03:00,2021-02-20 22:00:00,Kansas,,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,222000
February,2021-02-16 07:03:00,2021-02-20 22:00:00,Missouri,,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,Unknown,222000
February,2021-02-16 18:19:00,,Arkansas,,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Unknown,Unknown
February,2021-02-16 17:45:00,2021-02-16 19:15:00,Texas,Travis County,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
February,2021-02-16 06:48:00,,Louisiana,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,360,Unknown
February,2021-02-16 18:35:00,2021-02-17 01:00:00,Texas,,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Fuel Supply Deficiency,Unknown,Unknown
February,2021-02-16 23:28:00,,Texas,,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
February,2021-02-16 16:40:00,2021-02-20 00:00:00,Missouri,,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,2021-02-16 17:35:00,2021-02-17 00:00:00,Mississippi,,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,2021-02-16 07:20:00,2021-02-16 10:02:00,Nebraska,Douglas County,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,2021-02-16 07:20:00,2021-02-16 10:02:00,Nebraska,Burt County,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,2021-02-16 07:20:00,2021-02-16 10:02:00,Nebraska,Washington County,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,2021-02-16 07:20:00,2021-02-16 10:02:00,Nebraska,Dodge County,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,2021-02-16 07:20:00,2021-02-16 10:02:00,Nebraska,Colfax County,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,2021-02-16 07:20:00,2021-02-16 10:02:00,Nebraska,Saunders County,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,2021-02-16 07:20:00,2021-02-16 10:02:00,Nebraska,Sarpy County,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,2021-02-16 07:20:00,2021-02-16 10:02:00,Nebraska,Cass County,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,2021-02-16 07:20:00,2021-02-16 10:02:00,Nebraska,Otoe County,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,2021-02-16 07:20:00,2021-02-16 10:02:00,Nebraska,Johnson County,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,2021-02-16 07:20:00,2021-02-16 10:02:00,Nebraska,Nemaha County,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,2021-02-16 07:20:00,2021-02-16 10:02:00,Nebraska,Pawnee County,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,2021-02-16 07:20:00,2021-02-16 10:02:00,Nebraska,Richardson County,MRO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,126,81100
February,2021-02-16 05:30:00,2021-02-16 14:00:00,Louisiana,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,1420,Unknown
February,2021-02-16 05:30:00,2021-02-16 14:00:00,Texas,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,1420,Unknown
February,2021-02-16 05:30:00,2021-02-16 14:00:00,Illinois,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,1420,Unknown
February,2021-02-16 19:43:00,2021-02-16 21:41:00,Louisiana,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,700,Unknown
February,2021-02-16 19:43:00,2021-02-16 21:41:00,Arkansas,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,700,Unknown
February,2021-02-16 19:43:00,2021-02-16 21:41:00,Texas,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,700,Unknown
February,2021-02-16 19:43:00,2021-02-16 21:41:00,Mississippi,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,700,Unknown
February,2021-02-16 19:40:00,2021-02-17 01:00:00,Texas,,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,538,Unknown
February,2021-02-16 07:17:00,2021-02-16 10:08:00,Texas,,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,168,840000
February,2021-02-16 18:35:00,2021-02-17 01:00:00,Louisiana,,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,System Operations,Unknown,Unknown
February,2021-02-16 10:20:00,2021-02-16 13:20:00,Oregon,Multnomah County,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
February,2021-02-16 09:31:00,2021-02-16 10:27:00,Nebraska,Custer County,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,31,Unknown
February,2021-02-16 17:35:00,2021-02-17 00:00:00,Louisiana,Lafayette Parish,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,2021-02-16 06:24:00,2021-02-16 10:41:00,Louisiana,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,System Operations,100,18150
February,2021-02-16 01:00:00,2021-02-16 21:28:00,Kentucky,,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,54167
February,2021-02-16 06:10:00,,Missouri,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,"Severe Weather,Transmission Interruption",130,Unknown
February,2021-02-16 07:00:00,,New Jersey,,RF,Cyber event that could potentially impact electric power system adequacy or reliability.,Cyber Event,Unknown,0
February,2021-02-16 07:00:00,,Pennsylvania,,RF,Cyber event that could potentially impact electric power system adequacy or reliability.,Cyber Event,Unknown,0
February,2021-02-16 07:00:00,,Texas,,RF,Cyber event that could potentially impact electric power system adequacy or reliability.,Cyber Event,Unknown,0
February,2021-02-16 07:00:00,,California,,RF,Cyber event that could potentially impact electric power system adequacy or reliability.,Cyber Event,Unknown,0
February,2021-02-16 07:00:00,,Illinois,,RF,Cyber event that could potentially impact electric power system adequacy or reliability.,Cyber Event,Unknown,0
February,2021-02-16 07:00:00,,Colorado,,RF,Cyber event that could potentially impact electric power system adequacy or reliability.,Cyber Event,Unknown,0
February,2021-02-16 07:22:00,2021-02-16 08:00:00,Louisiana,Allen Parish,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,153,Unknown
February,2021-02-16 07:22:00,2021-02-16 08:00:00,Louisiana,St. Landry Parish,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,153,Unknown
February,2021-02-16 07:22:00,2021-02-16 08:00:00,Louisiana,Evangeline Parish,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,153,Unknown
February,2021-02-16 06:48:00,,Louisiana,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,402,Unknown
February,2021-02-16 06:48:00,,Texas,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,402,Unknown
February,2021-02-16 04:26:00,,Texas,,TRE,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,300,Unknown
February,2021-02-17 18:00:00,2021-02-17 23:00:00,Louisiana,,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,System Operations,Unknown,Unknown
February,2021-02-17 18:00:00,2021-02-17 23:00:00,Texas,,TRE,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,2021-02-17 09:00:00,2021-02-19 09:00:00,Kansas,,MRO,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,Unknown,Unknown
February,2021-02-17 17:00:00,2021-02-17 22:00:00,Mississippi,,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,Unknown,Unknown
February,2021-02-17 10:30:00,2021-02-17 18:04:00,North Carolina,,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
February,2021-02-17 17:00:00,2021-02-17 22:00:00,Louisiana,Lafayette Parish,SERC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.,Severe Weather,400,67000
February,2021-02-17 06:38:00,2021-02-17 08:37:00,Texas,Travis County,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
February,2021-02-19 06:48:00,,Louisiana,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,402,Unknown
February,2021-02-19 06:48:00,,Texas,,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,402,Unknown
February,2021-02-19 21:00:00,2021-02-20 13:00:00,Texas,,TRE,Cyber event that causes interruptions of electrical system operations.,Cyber Event,Unknown,0
February,2021-02-19 12:01:00,2021-02-19 12:41:00,New York,Broome County,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
February,2021-02-27 06:02:00,2021-02-27 09:51:00,Oregon,Multnomah County,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,Unknown,0
February,2021-02-27 06:02:00,2021-02-27 09:51:00,Oregon,Clackamas County,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,Unknown,0
February,2021-02-28 12:42:00,2021-02-28 13:22:00,Texas,,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
March,2021-03-01 10:06:00,2021-03-09 12:00:00,New York,Greene County,NPCC,Cyber event that could potentially impact electric power system adequacy or reliability.,Cyber Event,0,0
March,2021-03-01 22:45:00,2021-03-02 18:35:00,Connecticut,,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,69260
March,2021-03-01 22:45:00,2021-03-02 18:35:00,Massachusetts,,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,69260
March,2021-03-01 22:45:00,2021-03-02 18:35:00,New Hampshire,,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,69260
March,2021-03-01 22:45:00,2021-03-02 18:35:00,Maine,,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,69260
March,2021-03-01 22:45:00,2021-03-02 18:35:00,Rhode Island,,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,69260
March,2021-03-01 22:45:00,2021-03-02 18:35:00,Vermont,,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,69260
March,2021-03-01 13:06:00,2021-03-01 13:07:00,Texas,Nueces County,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
March,2021-03-02 13:03:00,2021-03-02 13:38:00,Kentucky,,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
March,2021-03-05 14:30:00,2021-03-05 15:00:00,Indiana,Hamilton County,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
March,2021-03-06 03:21:00,2021-03-06 04:07:00,California,Tuolumne County,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,22,24000
